Add_Feat,Average_validation_accuracy,STD_validation_accuracy
"[0, 0, 0, 0]",0.643333328,0.034318777
"[0, 0, 0, 1]",0.606666678,0.08981463
"[0, 0, 1, 0]",0.573333335,0.041633302
"[0, 0, 1, 1]",0.593333328,0.050110987
"[0, 1, 0, 0]",0.649999988,0.045946829
"[0, 1, 0, 1]",0.606666648,0.029059327
"[0, 1, 1, 0]",0.580000007,0.079860992
"[0, 1, 1, 1]",0.596666682,0.063595954
"[1, 0, 0, 0]",0.653333342,0.074087025
"[1, 0, 0, 1]",0.603333342,0.061824132
"[1, 0, 1, 0]",0.59666667,0.046427945
"[1, 0, 1, 1]",0.610000002,0.066332476
"[1, 1, 0, 0]",0.59333334,0.024944384
"[1, 1, 0, 1]",0.639999986,0.042946992
"[1, 1, 1, 0]",0.626666677,0.056371786
"[1, 1, 1, 1]",0.606666672,0.034318777
